"Town","FIPS","Year","Measure Type","Variable","Value"
"Bristol","0900308490","2009-2013","Number","Margins of Error",544
"Bristol","0900308490","2010-2014","Number","Total Households",25194
"Bristol","0900308490","2010-2014","Number","Margins of Error",607
"Bristol","0900308490","2011-2015","Number","Total Households",24921
"Bristol","0900308490","2011-2015","Number","Margins of Error",456
"Bristol","0900308490","2012-2016","Number","Total Households",24985
"Bristol","0900308490","2012-2016","Number","Margins of Error",527
"Bristol","0900308490","2013-2017","Number","Total Households",24789
"Bristol","0900308490","2013-2017","Number","Margins of Error",475
"Brookfield","0900108980","2006-2010","Number","Total Households",5869
"Brookfield","0900108980","2006-2010","Number","Margins of Error",179
"Brookfield","0900108980","2007-2011","Number","Total Households",5872
"Brookfield","0900108980","2007-2011","Number","Margins of Error",134
"Brookfield","0900108980","2008-2012","Number","Total Households",5833
"Brookfield","0900108980","2008-2012","Number","Margins of Error",206
"Brookfield","0900108980","2009-2013","Number","Total Households",5905
"Brookfield","0900108980","2009-2013","Number","Margins of Error",255
"Brookfield","0900108980","2010-2014","Number","Total Households",6010
"Brookfield","0900108980","2010-2014","Number","Margins of Error",225
"Brookfield","0900108980","2011-2015","Number","Total Households",5910
"Brookfield","0900108980","2011-2015","Number","Margins of Error",246
"Brookfield","0900108980","2012-2016","Number","Total Households",6042
"Brookfield","0900108980","2012-2016","Number","Margins of Error",246
"Brookfield","0900108980","2013-2017","Number","Total Households",6122
"Brookfield","0900108980","2013-2017","Number","Margins of Error",213
"Brooklyn","0901509190","2006-2010","Number","Total Households",2654
"Brooklyn","0901509190","2006-2010","Number","Margins of Error",181
"Brooklyn","0901509190","2007-2011","Number","Total Households",2844
"Brooklyn","0901509190","2007-2011","Number","Margins of Error",152
"Brooklyn","0901509190","2008-2012","Number","Total Households",2758
"Brooklyn","0901509190","2008-2012","Number","Margins of Error",213
"Brooklyn","0901509190","2009-2013","Number","Total Households",2870
"Brooklyn","0901509190","2009-2013","Number","Margins of Error",204
"Brooklyn","0901509190","2010-2014","Number","Total Households",2918
"Brooklyn","0901509190","2010-2014","Number","Margins of Error",183
"Brooklyn","0901509190","2011-2015","Number","Total Households",2914
"Brooklyn","0901509190","2011-2015","Number","Margins of Error",200
"Brooklyn","0901509190","2012-2016","Number","Total Households",2955
"Brooklyn","0901509190","2012-2016","Number","Margins of Error",230
"Brooklyn","0901509190","2013-2017","Number","Total Households",3088
"Brooklyn","0901509190","2013-2017","Number","Margins of Error",203
"Burlington","0900310100","2006-2010","Number","Total Households",3183
"Burlington","0900310100","2006-2010","Number","Margins of Error",126
"Burlington","0900310100","2007-2011","Number","Total Households",3313
"Burlington","0900310100","2007-2011","Number","Margins of Error",141
"Burlington","0900310100","2008-2012","Number","Total Households",3496
"Burlington","0900310100","2008-2012","Number","Margins of Error",150
"Burlington","0900310100","2009-2013","Number","Total Households",3461
"Burlington","0900310100","2009-2013","Number","Margins of Error",135
"Burlington","0900310100","2010-2014","Number","Total Households",3381
"Burlington","0900310100","2010-2014","Number","Margins of Error",172
"Burlington","0900310100","2011-2015","Number","Total Households",3374
"Burlington","0900310100","2011-2015","Number","Margins of Error",128
"Burlington","0900310100","2012-2016","Number","Total Households",3366
"Burlington","0900310100","2012-2016","Number","Margins of Error",124
"Burlington","0900310100","2013-2017","Number","Total Households",3363
"Burlington","0900310100","2013-2017","Number","Margins of Error",119
"Canaan","0900510940","2006-2010","Number","Total Households",579
"Canaan","0900510940","2006-2010","Number","Margins of Error",55
"Canaan","0900510940","2007-2011","Number","Total Households",595
"Canaan","0900510940","2007-2011","Number","Margins of Error",64
"Canaan","0900510940","2008-2012","Number","Total Households",613
"Canaan","0900510940","2008-2012","Number","Margins of Error",54
"Canaan","0900510940","2009-2013","Number","Total Households",586
"Canaan","0900510940","2009-2013","Number","Margins of Error",50
"Canaan","0900510940","2010-2014","Number","Total Households",575
"Canaan","0900510940","2010-2014","Number","Margins of Error",66
"Canaan","0900510940","2011-2015","Number","Total Households",536
"Canaan","0900510940","2011-2015","Number","Margins of Error",61
"Canaan","0900510940","2012-2016","Number","Total Households",540
"Canaan","0900510940","2012-2016","Number","Margins of Error",50
"Canaan","0900510940","2013-2017","Number","Total Households",510
"Canaan","0900510940","2013-2017","Number","Margins of Error",56
"Canterbury","0901512130","2006-2010","Number","Total Households",1965
"Canterbury","0901512130","2006-2010","Number","Margins of Error",117
"Canterbury","0901512130","2007-2011","Number","Total Households",2050
"Canterbury","0901512130","2007-2011","Number","Margins of Error",133
"Canterbury","0901512130","2008-2012","Number","Total Households",2122
"Canterbury","0901512130","2008-2012","Number","Margins of Error",178
"Canterbury","0901512130","2009-2013","Number","Total Households",2015
"Canterbury","0901512130","2009-2013","Number","Margins of Error",138
"Canterbury","0901512130","2010-2014","Number","Total Households",1931
"Canterbury","0901512130","2010-2014","Number","Margins of Error",103
"Canterbury","0901512130","2011-2015","Number","Total Households",1891
"Canterbury","0901512130","2011-2015","Number","Margins of Error",81
"Canterbury","0901512130","2012-2016","Number","Total Households",1829
"Canterbury","0901512130","2012-2016","Number","Margins of Error",91
"Canterbury","0901512130","2013-2017","Number","Total Households",1847
"Canterbury","0901512130","2013-2017","Number","Margins of Error",94
"Canton","0900312270","2006-2010","Number","Total Households",4001
"Canton","0900312270","2006-2010","Number","Margins of Error",132
"Canton","0900312270","2007-2011","Number","Total Households",4082
"Canton","0900312270","2007-2011","Number","Margins of Error",139
"Canton","0900312270","2008-2012","Number","Total Households",4006
"Canton","0900312270","2008-2012","Number","Margins of Error",161
"Canton","0900312270","2009-2013","Number","Total Households",4001
"Canton","0900312270","2009-2013","Number","Margins of Error",154
"Canton","0900312270","2010-2014","Number","Total Households",4023
"Canton","0900312270","2010-2014","Number","Margins of Error",159
"Canton","0900312270","2011-2015","Number","Total Households",4008
"Canton","0900312270","2011-2015","Number","Margins of Error",149
"Canton","0900312270","2012-2016","Number","Total Households",4040
"Canton","0900312270","2012-2016","Number","Margins of Error",150
"Canton","0900312270","2013-2017","Number","Total Households",4065
"Canton","0900312270","2013-2017","Number","Margins of Error",162
"Chaplin","0901513810","2006-2010","Number","Total Households",932
"Chaplin","0901513810","2006-2010","Number","Margins of Error",64
"Chaplin","0901513810","2007-2011","Number","Total Households",943
"Chaplin","0901513810","2007-2011","Number","Margins of Error",64
"Chaplin","0901513810","2008-2012","Number","Total Households",884
"Chaplin","0901513810","2008-2012","Number","Margins of Error",61
"Chaplin","0901513810","2009-2013","Number","Total Households",893
"Chaplin","0901513810","2009-2013","Number","Margins of Error",59
"Chaplin","0901513810","2010-2014","Number","Total Households",865
"Chaplin","0901513810","2010-2014","Number","Margins of Error",58
